Acronym,Name,Family,Subfamily,Genus,Host,all_NT_ACC,RdRp_NT_ACC,RdRp_PID,all_PID
RVA,Rotavirus_A,Reoviridae,Sedoreovirinae,Rotavirus,Vertebrates,NC_011507.2&NC_011504.2&NC_011505.2&NC_011506.2&NC_011508.2&NC_011510.2&NC_011500.2&NC_011509.2&NC_011501.2&NC_011502.2&NC_011503.2,NC_011507,YP_002302227.1,YP_002302227&YP_002302223&YP_002302224&YP_002302225&YP_002302226&YP_002302228&YP_002302230&YP_002302219&YP_002302229&YP_002302220&YP_002302221&YP_002302222
RVB,Rotavirus_B,Reoviridae,Sedoreovirinae,Rotavirus,Vertebrates,NC_021541.1&NC_021550.1&NC_021549.1&NC_021545.1&NC_021551.1&NC_021543.1&NC_021546.1&NC_021544.1&NC_021547.1&NC_021548.1&NC_021542.1,NC_021541,YP_008126843.1,YP_008126843&YP_008126854&YP_008126853&YP_008126847&YP_008126855&YP_008126845&YP_008126848&YP_008126846&YP_008126851&YP_008126852&YP_008126844
RVC,Rotavirus_C,Reoviridae,Sedoreovirinae,Rotavirus,Vertebrates,NC_007547.1&NC_007569.1&NC_007573.1&NC_007546.1&NC_007572.1&NC_007574.1&NC_007570.1&NC_007543.1&NC_007544.1&NC_007571.1&NC_007545.1,NC_007547,YP_392464.1,YP_392464&YP_392511&YP_392515&YP_392489&YP_392514&YP_392516&YP_392486&YP_392487&YP_392513&YP_392488
SsRV,Scylla_serrata_reovirus,Reoviridae,unclassified,unclassified,Giant_mud_crab,HQ414127&HQ414128&HQ414129&HQ414130&HQ414131&HQ414132&HQ414133&HQ414134&HQ414135&HQ414136&HQ414137&HQ414138,HQ414127,AEQ75466.1,AEQ75466&AEQ75467&AEQ75468&AEQ75469&AEQ75470&AEQ75471&AEQ75472&AEQ75473&AEQ75474&AEQ75475&AEQ75476&AEQ75477
SRBSDV,Southern_Rice_black_streaked_dwarf_virus,Reoviridae,Spinareovirinae,Fijivirus,Rice,NC_014714.1&NC_014713.1&NC_014715.1&NC_014716.1&NC_014717.1&NC_014708.1&NC_014709.1&NC_014710.1&NC_014711.1&NC_014712.1,NC_014714,YP_004021936.1,YP_004021936&YP_004021935&YP_004021937&YP_004021938&YP_004021939&YP_004021927&YP_004021929&YP_004021930&YP_004021931&YP_004021932&YP_004021933&YP_004021934
StCRV,St_Croix_river_virus,Reoviridae,Sedoreovirinae,Orbivirus,Tick_arbovirus_Vertebrates,NC_006004.1&NC_005997.1&NC_006006.1&NC_005998.1&NC_005999.1&NC_006000.1&NC_006001.1&NC_006002.1&NC_006003.1&NC_006005.1,NC_005997,YP_052942.1,YP_052949&YP_052942&YP_052951&YP_052943&YP_052944&YP_052945&YP_052946&YP_052947&YP_052948&YP_052950
SBRV,Striped_bass_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,AF450318&AF450319&AF450320&AF450321&AF450322,AF450318,AAM93410.1,AAM93410&AAM93411&AAM93412&AAM93413&AAM93414
TILV,Tilligerry_virus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquite_Midge_arbovirus_Marsupials_Cattle,JQ070366& JQ070367&JQ070368&JQ070369&JQ070370&JQ070371&JQ070372&JQ070373&JQ070374&JQ070375,JQ070366,AFH41499.1,AFH41499&AFH41500&AFH41501&AFH41502&AFH41503&AFH41504&AFH41505&AFH41506&AFH41507&AFH41508
UMAV,Umatilla_virus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquito_arbovirus_Birds,NC_024503.1&NC_024500.1&NC_024504.1&NC_024505.1&NC_024506.1&NC_024507.1&NC_024508.1&NC_024509.1&NC_024510.1&NC_024499.1,NC_024503,YP_009047258.1,YP_009047258&YP_009047250&YP_009047259&YP_009047260&YP_009047261&YP_009047262&YP_009047263&YP_009047264&YP_009047265&YP_009047249
WMV,Wad_Medani_virus,Reoviridae,Sedoreovirinae,Orbivirus,Tick_arbovirus_Vertebrates,NC_027533.1&NC_027547.1&NC_027539.1&NC_027540.1&NC_027541.1&NC_027542.1&NC_027543.1&NC_027544.1&NC_027545.1&NC_027546.1,NC_027533,YP_009158877.1,YP_009158877&YP_009158892&YP_009158893&YP_009158883&YP_009158884&YP_009158885&YP_009158886&YP_009158887&YP_009158888&YP_009158889&YP_009158890&YP_009158891
WALV,Wallal_virus,Reoviridae,Sedoreovirinae,Orbivirus,Arbovirus_Marsupials,NC_022554.1&NC_022560.1&NC_022556.1&NC_022561.1&NC_022557.1&NC_022562.1&NC_022558.1&NC_022553.1&NC_022559.1&NC_022555.1,NC_022553,YP_008658416.1,YP_008658417&YP_008658423&YP_008658419&YP_008658424&YP_008658420&YP_008658425&YP_008658421&YP_008658416&YP_008658422&YP_008658418
WARV,Warrego_virus,Reoviridae,Sedoreovirinae,Orbivirus,Arbovirus_Marsupials,KJ495755&KJ495756&KJ495757&KJ495758&KJ495759&KJ495760&KJ495761&KJ495762&KJ495763&KJ495764,KJ495755,AIT55713.1,AIT55713&AIT55714&AIT55715&AIT55716&AIT55717&AIT55718&AIT55719&AIT55720&AIT55721&AIT55722
WBV,White_bream_reovirus,Reoviridae,Spinareovirinae,Aquareovirus,Fish,HQ448931,HQ448931,AEC53507.1,AEC53507
YUOV,Yunnan_orbivirus,Reoviridae,Sedoreovirinae,Orbivirus,Mosquito_arbovirus_Vertebrates,NC_007656.1&NC_007665.1&NC_007657.1&NC_007658.1&NC_007659.1&NC_007660.1&NC_007661.1&NC_007662.1&NC_007663.1&NC_007664.1,NC_007656,YP_443925.1,YP_443925&YP_443934&YP_443926&YP_443927&YP_443928&YP_443929&YP_443930&YP_443931&YP_443932&YP_443933&YP_006491217
